A0A0G2JPB7	GO:0009897;GO:0009897
ABCC12	GO:0005783;GO:0005783;GO:0005789;GO:0005789;GO:0016020;GO:0016020
ABCC2	GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0009986;GO:0009986;GO:0009986;GO:0009986;GO:0009986;GO:0016324;GO:0016324;GO:0016324;GO:0016324;GO:0016324;GO:0046581;GO:0046581;GO:0046581;GO:0046581;GO:0046581
ABCC3	GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0009925;GO:0009925;GO:0009925;GO:0009925;GO:0016323;GO:0016323;GO:0016323;GO:0016323;GO:0016020;GO:0016020;GO:0016020;GO:0016020
ABCC4	GO:0005730;GO:0005730;GO:0005730;GO:0005794;GO:0005794;GO:0005794;GO:0005886;GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0016020;GO:0016323;GO:0016323;GO:0016323;GO:0016324;GO:0016324;GO:0016324;GO:0031088;GO:0031088;GO:0031088;GO:0098591;GO:0098591;GO:0098591
ABCC5	GO:0005796;GO:0005796;GO:0005886;GO:0005886;GO:0010008;GO:0010008;GO:0016020;GO:0016020;GO:0016323;GO:0016323;GO:0016324;GO:0016324
ABCC6	GO:0005576;GO:0005576;GO:0005576;GO:0005654;GO:0005654;GO:0005654;GO:0005789;GO:0005789;GO:0005789;GO:0005886;GO:0005886;GO:0005886;GO:0009925;GO:0009925;GO:0009925;GO:0016323;GO:0016323;GO:0016323;GO:0016020;GO:0016020;GO:0016020
ABCC8	GO:0005739;GO:0005739;GO:0005739;GO:0005739;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0008282;GO:0008282;GO:0008282;GO:0008282;GO:0030672;GO:0030672;GO:0030672;GO:0030672;GO:0042383;GO:0042383;GO:0042383;GO:0042383;GO:0031004;GO:0031004;GO:0031004;GO:0031004;GO:0016020;GO:0016020;GO:0016020;GO:0016020
ABCC9	GO:0005886;GO:0005886;GO:0030017;GO:0030017;GO:0008282;GO:0008282;GO:0031004;GO:0031004;GO:0016020;GO:0016020
ABCD1	GO:0005737;GO:0005737;GO:0005765;GO:0005765;GO:0005777;GO:0005777;GO:0005778;GO:0005778;GO:0005789;GO:0005789;GO:0005829;GO:0005829;GO:0016020;GO:0016020;GO:0031966;GO:0031966;GO:0048471;GO:0048471
ABCD2	GO:0005777;GO:0005777;GO:0005777;GO:0005777;GO:0005777;GO:0005778;GO:0005778;GO:0005778;GO:0005778;GO:0005778;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829
