A0A0G2JPB7	GO:0009897;GO:0009897
IGKV5-2	GO:0005576;GO:0005886;GO:0019814;GO:0005615
IGKV6-21	GO:0005886;GO:0019814;GO:0005615
IGKV6D-21	GO:0005886;GO:0019814;GO:0005615
IGKV6D-41	GO:0005886;GO:0019814;GO:0005615
IGLC1	GO:0005576;GO:0005615;GO:0005886;GO:0070062;GO:0071735;GO:0071738;GO:0071742;GO:0071745;GO:0071753;GO:0072562;GO:0009897
IGLC2	GO:0005576;GO:0005615;GO:0005886;GO:0070062;GO:0072562;GO:0009897
IGLC3	GO:0005576;GO:0005615;GO:0005886;GO:0070062;GO:0071735;GO:0071738;GO:0071742;GO:0071745;GO:0071753;GO:0072562;GO:0009897
IGLC6	GO:0005576;GO:0005615;GO:0005886;GO:0071735;GO:0071738;GO:0071742;GO:0071745;GO:0071753;GO:0009897
IGLC7	GO:0005576;GO:0005615;GO:0005886;GO:0071735;GO:0071738;GO:0071742;GO:0071745;GO:0071753;GO:0009897
IGLJ1	GO:0005576;GO:0005886;GO:0019814
IGLL1	GO:0005576;GO:0005576;GO:0005783;GO:0005783;GO:0016020;GO:0016020;GO:0009897;GO:0009897
IGLL5	GO:0070062;GO:0009897
IGLON5	GO:0005576
IGLV1-36	GO:0005886;GO:0019814;GO:0005615
IGLV1-40	GO:0005576;GO:0005886;GO:0019814;GO:0005615
IGLV1-44	GO:0005576;GO:0005886;GO:0019814;GO:0005615
IGLV1-47	GO:0005576;GO:0005886;GO:0072562;GO:0019814;GO:0005615
IGLV1-50	GO:0005886;GO:0019814;GO:0005615
IGLV1-51	GO:0005576;GO:0005886;GO:0070062;GO:0019814;GO:0005615
IGLV10-54	GO:0005886;GO:0019814;GO:0005615
IGLV11-55	GO:0005886;GO:0019814;GO:0005615
IGLV2-11	GO:0005576;GO:0005886;GO:0019814;GO:0005615
IGLV2-14	GO:0005576;GO:0005886;GO:0070062;GO:0019814;GO:0005615
IGLV2-18	GO:0005886;GO:0019814;GO:0005615
IGLV2-23	GO:0005576;GO:0005886;GO:0019814;GO:0005615
IGLV2-33	GO:0005886;GO:0019814;GO:0005615
IGLV2-8	GO:0005576;GO:0005886;GO:0019814;GO:0005615
IGLV3-1	GO:0005576;GO:0005886;GO:0019814;GO:0005615
IGLV3-10	GO:0005886;GO:0019814;GO:0005615
IGLV3-12	GO:0005886;GO:0019814;GO:0005615
IGLV3-16	GO:0005886;GO:0019814;GO:0005615
IGLV3-19	GO:0005576;GO:0005886;GO:0070062;GO:0019814;GO:0005615
IGLV3-21	GO:0005576;GO:0005886;GO:0070062;GO:0072562;GO:0019814;GO:0005615
IGLV3-22	GO:0005886;GO:0019814;GO:0005615
IGLV3-25	GO:0005576;GO:0005886;GO:0072562;GO:0019814;GO:0005615
IGLV3-27	GO:0005576;GO:0005886;GO:0019814;GO:0005615
IGLV3-32	GO:0005886;GO:0019814;GO:0005615
IGLV3-9	GO:0005886;GO:0019814;GO:0005615
IGLV4-3	GO:0005886;GO:0019814;GO:0005615
IGLV4-60	GO:0005886;GO:0019814;GO:0005615
IGLV4-69	GO:0005886;GO:0019814;GO:0005615
IGLV5-37	GO:0005886;GO:0019814;GO:0005615
IGLV5-39	GO:0005886;GO:0019814;GO:0005615
IGLV5-45	GO:0005886;GO:0019814;GO:0005615
IGLV5-48	GO:0005886;GO:0019814;GO:0005615
IGLV5-52	GO:0005886;GO:0019814;GO:0005615
IGLV6-57	GO:0005576;GO:0005886;GO:0019814;GO:0005615
IGLV7-43	GO:0005576;GO:0005886;GO:0019814;GO:0005615
IGLV7-46	GO:0005886;GO:0019814;GO:0005615
IGLV8-61	GO:0005886;GO:0019814;GO:0005615
IGLV9-49	GO:0005886;GO:0019814;GO:0005615
IGSF1	GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0016020;GO:0016020;GO:0016020;GO:0016020
IGSF10	GO:0005576;GO:0005576
IGSF11	GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005911;GO:0005911;GO:0005911;GO:0005911;GO:0014069;GO:0014069;GO:0014069;GO:0014069;GO:0060076;GO:0060076;GO:0060076;GO:0060076
IGSF21	GO:0009897;GO:0042734;GO:0045211;GO:0060077;GO:0005912
IGSF23	GO:0016020
IGSF3	GO:0009986;GO:0009986;GO:0009986;GO:0016020;GO:0016020;GO:0016020
IGSF5	GO:0016324;GO:0016324;GO:0009986;GO:0009986;GO:0005923;GO:0005923
IGSF6	GO:0005886;GO:0005886
IGSF8	GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0043231;GO:0043231;GO:0043231;GO:0043231;GO:0070062;GO:0070062;GO:0070062;GO:0070062
IGSF9	GO:0030425;GO:0030425;GO:0030425;GO:0030425;GO:0060077;GO:0060077;GO:0060077;GO:0060077;GO:0030424;GO:0030424;GO:0030424;GO:0030424;GO:0005886;GO:0005886;GO:0005886;GO:0005886
IGSF9B	GO:0014069;GO:0014069;GO:0045211;GO:0045211;GO:0098982;GO:0098982;GO:0099629;GO:0099629;GO:0043005;GO:0043005
IHH	GO:0000139;GO:0005789;GO:0005886;GO:0031012;GO:0005615
IHO1	GO:0000794;GO:0000794
IK	GO:0000228;GO:0000228;GO:0000228;GO:0097431;GO:0097431;GO:0097431;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005737;GO:0016607;GO:0016607;GO:0016607;GO:0071005;GO:0071005;GO:0071005
IKBIP	GO:0005783;GO:0005783;GO:0005789;GO:0005789;GO:0016020;GO:0016020
IKBKB	GO:0005634;GO:0005634;GO:0005829;GO:0005829;GO:0009898;GO:0009898;GO:0045121;GO:0045121;GO:0008385;GO:0008385;GO:0035631;GO:0035631;GO:0005737;GO:0005737
IKBKE	GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0016605;GO:0016605;GO:0016605;GO:0016605;GO:0031966;GO:0031966;GO:0031966;GO:0031966;GO:1902554;GO:1902554;GO:1902554;GO:1902554
IKBKG	GO:0000922;GO:0000922;GO:0000922;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005829;GO:0072686;GO:0072686;GO:0072686;GO:0000151;GO:0000151;GO:0000151;GO:0008385;GO:0008385;GO:0008385;GO:0032991;GO:0032991;GO:0032991
IKZF1	GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005721;GO:0005721;GO:0005721;GO:0005721;GO:0005721;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0032991;GO:0032991;GO:0032991;GO:0032991;GO:0032991
IKZF2	GO:0005634;GO:0005634;GO:0005634
IKZF3	GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005829;GO:0005829
IKZF4	GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0016604;GO:0016604;GO:0016604;GO:0032991;GO:0032991;GO:0032991
IKZF5	GO:0005634;GO:0005634;GO:0032991;GO:0032991
IL10	GO:0005576;GO:0005615
IL10RA	GO:0005829;GO:0005829;GO:0005886;GO:0005886
IL10RB	GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0032002;GO:0032002;GO:0032002;GO:0032002
IL11	GO:0005576;GO:0005615;GO:0005737
IL11RA	GO:0005576;GO:0005886;GO:0043235;GO:0009897
IL12A	GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005788;GO:0005788;GO:0031906;GO:0031906;GO:0043514;GO:0043514
IL12B	GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005788;GO:0005788;GO:0005829;GO:0005829;GO:0031906;GO:0031906;GO:0043514;GO:0043514;GO:0070743;GO:0070743;GO:0043235;GO:0043235;GO:0009897;GO:0009897
IL12RB1	GO:0005886;GO:0005886;GO:0005886;GO:0042022;GO:0042022;GO:0042022;GO:0072536;GO:0072536;GO:0072536;GO:0043235;GO:0043235;GO:0043235;GO:0009897;GO:0009897;GO:0009897
IL12RB2	GO:0005886;GO:0043235;GO:0009897
IL13	GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005737;GO:0005737;GO:0009897;GO:0009897
IL13RA1	GO:0005886;GO:0005886;GO:0005886;GO:0005898;GO:0005898;GO:0005898;GO:0009897;GO:0009897;GO:0009897;GO:0043235;GO:0043235;GO:0043235
IL13RA2	GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0043235;GO:0043235;GO:0009897;GO:0009897
IL15	GO:0005576;GO:0005654;GO:0005737;GO:0005768;GO:0005794;GO:0005829;GO:0009986;GO:0016607;GO:0005615
IL15RA	GO:0000139;GO:0005615;GO:0005768;GO:0005789;GO:0005886;GO:0009986;GO:0030659;GO:0031965
IL16	GO:0005576;GO:0005615;GO:0005829;GO:0005886;GO:0005925;GO:0016607;GO:0090543
IL17A	GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0009897;GO:0009897;GO:0009897
IL17B	GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005615
IL17C	GO:0005576;GO:0005576;GO:0005615;GO:0005615
IL17D	GO:0005615;GO:0005615
IL17F	GO:0005576;GO:0005615
IL17RA	GO:0005576;GO:0005576;GO:0005886;GO:0005886
IL17RB	GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0043231;GO:0043231;GO:0043231;GO:0043231;GO:0043231
IL17RC	GO:0005886;GO:0005886;GO:0009986;GO:0009986
IL17RD	GO:0000139;GO:0000139;GO:0000139;GO:0000139;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005794;GO:0005794;GO:0005794;GO:0005794;GO:0005886;GO:0005886;GO:0005886;GO:0005886
IL17RE	GO:0005576;GO:0005576;GO:0005737;GO:0005737;GO:0005886;GO:0005886
IL18	GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0005829;GO:0005829;GO:0005829
IL18BP	GO:0005576;GO:0070062;GO:0005615
IL18R1	GO:0005886;GO:0005886;GO:0045092;GO:0045092
IL18RAP	GO:0005886;GO:0005886;GO:0045092;GO:0045092
IL19	GO:0005576;GO:0005576;GO:0005615;GO:0005615
IL1A	GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005634;GO:0005634;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0009986;GO:0009986
IL1B	GO:0005615;GO:0005615;GO:0005576;GO:0005576;GO:0005764;GO:0005764;GO:0005829;GO:0005829;GO:0030141;GO:0030141
IL1F10	GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005615
IL1R1	GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0009897;GO:0009897;GO:0009897;GO:0009897;GO:0016020;GO:0016020;GO:0016020;GO:0016020
IL1R2	GO:0005576;GO:0005576;GO:0005737;GO:0005737;GO:0005886;GO:0005886
IL1RAP	GO:0005576;GO:0005576;GO:0005576;GO:0005886;GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0016020;GO:0098978;GO:0098978;GO:0098978
IL1RAPL1	GO:0098978;GO:0098978;GO:0005737;GO:0005737;GO:0005886;GO:0005886;GO:0009986;GO:0009986;GO:0030424;GO:0030424;GO:0030425;GO:0030425;GO:0045211;GO:0045211
IL1RAPL2	GO:0098978;GO:0098978;GO:0005886;GO:0005886
IL1RL1	GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005925;GO:0005925;GO:0005925;GO:0005925;GO:0009897;GO:0009897;GO:0009897;GO:0009897
IL1RL2	GO:0005886;GO:0005886
IL1RN	GO:0005615;GO:0005615;GO:0005615;GO:0005737;GO:0005737;GO:0005737;GO:0005886;GO:0005886;GO:0005886;GO:0070062;GO:0070062;GO:0070062
IL2	GO:0005576;GO:0005615
IL20	GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615
IL20RA	GO:0005886;GO:0005886
IL20RB	GO:0005886;GO:0005886;GO:0005886
IL21	GO:0005576;GO:0005615
IL21R	GO:0005886;GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0016020;GO:0009897;GO:0009897;GO:0009897
IL22	GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0005615
IL22RA1	GO:0005886;GO:0005886
IL22RA2	GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005829;GO:0005829
IL23A	GO:0005576;GO:0005576;GO:0005576;GO:0005788;GO:0005788;GO:0005788;GO:0070743;GO:0070743;GO:0070743
IL23R	GO:0005886;GO:0043235;GO:0072536;GO:0009897
IL24	GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615
IL25	GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615
IL26	GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005829;GO:0005829
IL27	GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0005788;GO:0005788;GO:0005788;GO:0005829;GO:0005829;GO:0005829;GO:0009986;GO:0009986;GO:0009986
IL27RA	GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0043235;GO:0043235;GO:0043235;GO:0043235;GO:0043235;GO:0009897;GO:0009897;GO:0009897;GO:0009897;GO:0009897
IL2RA	GO:0005886;GO:0009897;GO:0005893
IL2RB	GO:0005768;GO:0005768;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0009897;GO:0009897;GO:0009986;GO:0009986;GO:0016020;GO:0016020;GO:0005893;GO:0005893
IL2RG	GO:0005768;GO:0005829;GO:0005886;GO:0009897;GO:0009986;GO:0016020;GO:0043235
IL3	GO:0005576;GO:0005615
IL31	GO:0005576;GO:0005615
IL31RA	GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0030424;GO:0030424;GO:0030424;GO:0030424;GO:0042734;GO:0042734;GO:0042734;GO:0042734;GO:0009897;GO:0009897;GO:0009897;GO:0009897;GO:0043235;GO:0043235;GO:0043235;GO:0043235
IL32	GO:0005615;GO:0005615;GO:0005615;GO:0005829;GO:0005829;GO:0005829;GO:0016020;GO:0016020;GO:0016020
IL33	GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005694;GO:0005694;GO:0005694;GO:0005694;GO:0030133;GO:0030133;GO:0030133;GO:0030133;GO:0043231;GO:0043231;GO:0043231;GO:0043231;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005737;GO:0005737
IL34	GO:0005576;GO:0005576;GO:0005615;GO:0005615
IL36A	GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005615;GO:0005615;GO:0005615;GO:0005615
IL36B	GO:0005576;GO:0005576;GO:0005576;GO:0005737;GO:0005737;GO:0005737;GO:0005615;GO:0005615;GO:0005615
IL36G	GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005615
IL36RN	GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005615
IL37	GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0043231;GO:0043231;GO:0043231;GO:0043231;GO:0043231;GO:0005615;GO:0005615;GO:0005615;GO:0005615;GO:0005615
IL3RA	GO:0005886;GO:0005886;GO:0043235;GO:0043235;GO:0009897;GO:0009897
IL4	GO:0005576;GO:0005615
IL4I1	GO:0001669;GO:0001669;GO:0001669;GO:0001772;GO:0001772;GO:0001772;GO:0005576;GO:0005576;GO:0005576;GO:0005764;GO:0005764;GO:0005764;GO:0097225;GO:0097225;GO:0097225
IL4R	GO:0005615;GO:0005615;GO:0005615;GO:0005654;GO:0005654;GO:0005654;GO:0005886;GO:0005886;GO:0005886;GO:0034451;GO:0034451;GO:0034451;GO:0043235;GO:0043235;GO:0043235;GO:0009897;GO:0009897;GO:0009897
IL5	GO:0005576;GO:0005615
IL5RA	GO:0005615;GO:0005615;GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0043235;GO:0043235;GO:0009897;GO:0009897
IL6	GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005788;GO:0005788;GO:0005896;GO:0005896
IL6R	GO:0005576;GO:0005886;GO:0016324;GO:0005896;GO:0070110;GO:0043235;GO:0009897
IL6ST	GO:0045121;GO:0005576;GO:0005886;GO:0016020;GO:0030425;GO:0043025;GO:0070062;GO:0005896;GO:0005900;GO:0070110;GO:0009897;GO:0043235
IL7	GO:0005576;GO:0005615;GO:0062023
IL7R	GO:0005576;GO:0005654;GO:0005829;GO:0005886;GO:0030669;GO:0009897
IL9	GO:0005576;GO:0005615
IL9R	GO:0005615;GO:0005886;GO:0009897
ILDR1	GO:0005829;GO:0005923;GO:0061689;GO:0070160;GO:0032991;GO:0005886
ILDR2	GO:0005634;GO:0005634;GO:0005789;GO:0005789;GO:0005923;GO:0005923;GO:0070160;GO:0070160;GO:0016020;GO:0016020
ILF2	GO:0005576;GO:0005576;GO:0005576;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005730;GO:0005730;GO:0005730;GO:0016020;GO:0016020;GO:0016020;GO:0035580;GO:0035580;GO:0035580;GO:1904724;GO:1904724;GO:1904724;GO:1904813;GO:1904813;GO:1904813;GO:1990904;GO:1990904;GO:1990904
ILF3	GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005730;GO:0005730;GO:0005730;GO:0005730;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005739;GO:0005739;GO:0005739;GO:0005739;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:1990904;GO:1990904;GO:1990904;GO:1990904
ILK	GO:0005654;GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005886;GO:0005925;GO:0005925;GO:0005925;GO:0016020;GO:0016020;GO:0016020;GO:0030017;GO:0030017;GO:0030017;GO:0030027;GO:0030027;GO:0030027;GO:0001725;GO:0001725;GO:0001725
ILKAP	GO:0005654;GO:0005829;GO:0005634
ILRUN	GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005813;GO:0005813;GO:0005829;GO:0005829;GO:0016607;GO:0016607;GO:0000407;GO:0000407
ILVBL	GO:0005789;GO:0005789;GO:0005789;GO:0016020;GO:0016020;GO:0016020;GO:0005948;GO:0005948;GO:0005948
IMMP1L	GO:0005739;GO:0005743;GO:0042720
IMMP2L	GO:0005743;GO:0042720
IMMT	GO:0005739;GO:0005739;GO:0005739;GO:0005739;GO:0005739;GO:0005739;GO:0005743;GO:0005743;GO:0005743;GO:0005743;GO:0005743;GO:0005743;GO:0005758;GO:0005758;GO:0005758;GO:0005758;GO:0005758;GO:0005758;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0044284;GO:0044284;GO:0044284;GO:0044284;GO:0044284;GO:0044284;GO:0061617;GO:0061617;GO:0061617;GO:0061617;GO:0061617;GO:0061617;GO:0001401;GO:0001401;GO:0001401;GO:0001401;GO:0001401;GO:0001401;GO:0140275;GO:0140275;GO:0140275;GO:0140275;GO:0140275;GO:0140275
IMP3	GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005730;GO:0005730;GO:0005730;GO:0034457;GO:0034457;GO:0034457;GO:0015935;GO:0015935;GO:0015935;GO:0030684;GO:0030684;GO:0030684;GO:0032040;GO:0032040;GO:0032040
IMP4	GO:0001650;GO:0001650;GO:0005654;GO:0005654;GO:0005730;GO:0005730;GO:0034457;GO:0034457;GO:0030684;GO:0030684;GO:0032040;GO:0032040
IMPA1	GO:0005737;GO:0005737;GO:0005829;GO:0005829
IMPA2	GO:0005737;GO:0005737;GO:0005829;GO:0005829
IMPACT	GO:0005575;GO:0005737;GO:0005844
IMPDH1	GO:0005576;GO:0005576;GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0034774;GO:0034774;GO:0035578;GO:0035578;GO:1904813;GO:1904813
IMPDH2	GO:0005576;GO:0005576;GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005778;GO:0005778;GO:0005829;GO:0005829;GO:0016020;GO:0016020;GO:0034774;GO:0034774;GO:0070062;GO:0070062;GO:1904813;GO:1904813
IMPG1	GO:0001750;GO:0001750;GO:0001750;GO:0001917;GO:0001917;GO:0001917;GO:0005576;GO:0005576;GO:0005576;GO:0031012;GO:0031012;GO:0031012;GO:0033165;GO:0033165;GO:0033165
IMPG2	GO:0005576;GO:0005576;GO:0016020;GO:0016020;GO:0031012;GO:0031012;GO:0033165;GO:0033165;GO:0042995;GO:0042995;GO:0043235;GO:0043235
IMUP	GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005730;GO:0005730;GO:0005829;GO:0005829;GO:0005886;GO:0005886
INA	GO:0005615;GO:0005615;GO:0005883;GO:0005883;GO:0036464;GO:0036464;GO:0098685;GO:0098685;GO:0005882;GO:0005882;GO:0005737;GO:0005737;GO:0099160;GO:0099160
INAFM1	GO:0016020;GO:0016020
INAFM2	GO:0016020;GO:0016020;GO:0016020
INAVA	GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0016604;GO:0016604
INCA1	GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0016604;GO:0016604
INCENP	GO:0000775;GO:0000776;GO:0000800;GO:0000801;GO:0005654;GO:0005721;GO:0005819;GO:0005829;GO:0005874;GO:0010369;GO:0015630;GO:0016604;GO:0030496;GO:0032133;GO:0032991;GO:1990385;GO:0005634
INE1	GO:0005575;GO:0005575
INF2	GO:0048471;GO:0048471;GO:0048471;GO:0005884;GO:0005884;GO:0005884
ING1	GO:0005634;GO:0016580
ING2	GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005886;GO:0005886;GO:0016580;GO:0016580;GO:0016602;GO:0016602
ING3	GO:0000786;GO:0000786;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0032777;GO:0032777;GO:0035267;GO:0035267;GO:0000812;GO:0000812
ING4	GO:0000123;GO:0000123;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0045111;GO:0045111
ING5	GO:0000123;GO:0005634;GO:0005654;GO:0070776
INHA	GO:0001750;GO:0001917;GO:0005576;GO:0005737;GO:0043025;GO:0034673;GO:0043512;GO:0043513;GO:0005615
INHBA	GO:0005576;GO:0048471;GO:0043509;GO:0043512;GO:0005615
INHBB	GO:0005576;GO:0048471;GO:0071944;GO:0005615
INHBC	GO:0005576;GO:0005615
INHBE	GO:0062023;GO:0005615
INIP	GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0035861;GO:0035861;GO:0035861;GO:0035861;GO:0035861;GO:0070876;GO:0070876;GO:0070876;GO:0070876;GO:0070876
INKA1	GO:0005634;GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005737
INKA2	GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654
INMT	GO:0005829
INO80	GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005819;GO:0005819;GO:0005819;GO:0005819;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005874;GO:0005874;GO:0005874;GO:0005874;GO:0016604;GO:0016604;GO:0016604;GO:0016604;GO:0031011;GO:0031011;GO:0031011;GO:0031011
INO80B	GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005730;GO:0005730;GO:0005730;GO:0005730;GO:0016604;GO:0016604;GO:0016604;GO:0016604;GO:0031011;GO:0031011;GO:0031011;GO:0031011
INO80C	GO:0005654;GO:0005654;GO:0031011;GO:0031011;GO:0071339;GO:0071339
INO80D	GO:0005654;GO:0031011;GO:0005634
INO80E	GO:0005654;GO:0005654;GO:0005730;GO:0005730;GO:0031011;GO:0031011
INPP1	GO:0005829
INPP4A	GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0005886;GO:0014069;GO:0031901;GO:0031965;GO:0055038
INPP4B	GO:0005829;GO:0005737
INPP5A	GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0030425;GO:0030425
INPP5B	GO:0005793;GO:0005793;GO:0005794;GO:0005794;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0030670;GO:0030670;GO:0031901;GO:0031901
INPP5D	GO:0005829;GO:0005829;GO:0005829;GO:0005856;GO:0005856;GO:0005856;GO:0005886;GO:0005886;GO:0005886;GO:0045121;GO:0045121;GO:0045121
INPP5E	GO:0000139;GO:0001726;GO:0005634;GO:0005654;GO:0005794;GO:0005829;GO:0005886;GO:0005925;GO:0005929;GO:0005930;GO:0032580
INPP5F	GO:0005905;GO:0005905;GO:0005905;GO:0005905;GO:0005905;GO:0005769;GO:0005769;GO:0005769;GO:0005769;GO:0005769;GO:0030424;GO:0030424;GO:0030424;GO:0030424;GO:0030424;GO:0030425;GO:0030425;GO:0030425;GO:0030425;GO:0030425;GO:0031901;GO:0031901;GO:0031901;GO:0031901;GO:0031901;GO:0043025;GO:0043025;GO:0043025;GO:0043025;GO:0043025;GO:0043231;GO:0043231;GO:0043231;GO:0043231;GO:0043231;GO:0045334;GO:0045334;GO:0045334;GO:0045334;GO:0045334;GO:0055037;GO:0055037;GO:0055037;GO:0055037;GO:0055037
INPP5J	GO:0001726;GO:0001726;GO:0001726;GO:0005737;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005829;GO:0030426;GO:0030426;GO:0030426;GO:0032587;GO:0032587;GO:0032587;GO:0043198;GO:0043198;GO:0043198;GO:0005886;GO:0005886;GO:0005886
