ABC3	GO:0006855;GO:0006869;GO:0009410;GO:0010875;GO:0015914;GO:0019538;GO:0030324;GO:0032464;GO:0034204;GO:0042908;GO:0043129;GO:0046470;GO:0046471;GO:0046618;GO:0046890;GO:0051384;GO:0055091;GO:0070925;GO:0120009;GO:0150172;GO:1902995;GO:2001140
ABC50	GO:0006412;GO:0006954
ABC7	GO:0006879;GO:0015886;GO:0016226;GO:0034755;GO:0055072;GO:0070455;GO:0140466;GO:1903331;GO:1903427;GO:0055085
ABC8	GO:0008203;GO:0010033;GO:0010745;GO:0010875;GO:0010887;GO:0032367;GO:0033344;GO:0033700;GO:0033993;GO:0034204;GO:0034374;GO:0034375;GO:0034436;GO:0042632;GO:0042987;GO:0043691;GO:0045542;GO:0050714;GO:0055091;GO:0071403;GO:0090181;GO:0120009;GO:1901998;GO:1902004;GO:0055085
ABCA1	GO:0002790;GO:0006497;GO:0006911;GO:0007040;GO:0007186;GO:0007189;GO:0008203;GO:0009306;GO:0010745;GO:0010875;GO:0010887;GO:0016197;GO:0023061;GO:0032367;GO:0032489;GO:0033344;GO:0033700;GO:0034380;GO:0034616;GO:0038027;GO:0042632;GO:0043691;GO:0045332;GO:0055091;GO:0060155;GO:0071222;GO:0071300;GO:0071404;GO:0071806;GO:0090107;GO:0090108;GO:0099039;GO:0120009;GO:0140115
ABCA10	GO:0055085;GO:0006869
ABCA12	GO:0043589;GO:0003336;GO:0006672;GO:0006869;GO:0006886;GO:0010875;GO:0019725;GO:0031424;GO:0032379;GO:0032940;GO:0033344;GO:0033700;GO:0034204;GO:0035627;GO:0043129;GO:0045055;GO:0045616;GO:0048286;GO:0055085;GO:0055088;GO:0061178;GO:0061436;GO:0072659;GO:2000010
ABCA13	GO:0032376;GO:0035627;GO:0055085;GO:1900244;GO:0006869
ABCA2	GO:0045540;GO:0019218;GO:0032384;GO:0032805;GO:0045939;GO:0090370;GO:1901873;GO:1902004;GO:1902993;GO:1905598;GO:1905601;GO:0032289;GO:0046512;GO:0001573;GO:0006629;GO:0006684;GO:0006687;GO:0007626;GO:0009410;GO:0032383;GO:0042632;GO:0042986;GO:0048545;GO:0055085;GO:0060049;GO:0070723;GO:0071072;GO:0090155;GO:0090156;GO:0099040;GO:0150104;GO:1904375;GO:2000008;GO:0006869
ABCA3	GO:0006855;GO:0006869;GO:0009410;GO:0010875;GO:0015914;GO:0019538;GO:0030324;GO:0032464;GO:0034204;GO:0042908;GO:0043129;GO:0046470;GO:0046471;GO:0046618;GO:0046890;GO:0051384;GO:0055091;GO:0070925;GO:0120009;GO:0150172;GO:1902995;GO:2001140
ABCA4	GO:0001523;GO:0006649;GO:0007601;GO:0007603;GO:0034633;GO:0042574;GO:0045332;GO:0045494;GO:0055085;GO:0006869
ABCA5	GO:0006869;GO:0008203;GO:0010745;GO:0010874;GO:0033344;GO:0034375;GO:0042632;GO:0043691;GO:0055085;GO:1903064
ABCA6	GO:0055085;GO:0006869
ABCA7	GO:0006909;GO:0007613;GO:0008542;GO:0010875;GO:0018149;GO:0019216;GO:0033344;GO:0033700;GO:0034205;GO:0034380;GO:0034504;GO:0038027;GO:0042985;GO:0043409;GO:0044857;GO:0045332;GO:0045806;GO:0050766;GO:0055085;GO:0070374;GO:0150094;GO:1900223;GO:1901076;GO:1902430;GO:1902991;GO:1902995;GO:1903898;GO:2000010
ABCA8	GO:0006686;GO:0010874;GO:0010875;GO:0030301;GO:0033344;GO:0042908;GO:0055085;GO:0006869
ABCA9	GO:0055085;GO:0006869
ABCB1	GO:0000086;GO:0006805;GO:0009410;GO:0045332;GO:0046865;GO:0047484;GO:0055085;GO:0070633;GO:0072089;GO:0099040;GO:0140115;GO:0150104;GO:1901529;GO:1905039;GO:1990961;GO:1990962;GO:2001225
ABCB10	GO:0006783;GO:0006839;GO:0034514;GO:0045648;GO:0046985;GO:0048821;GO:0055085;GO:0070455
ABCB11	GO:0006631;GO:0006699;GO:0006805;GO:0006855;GO:0006979;GO:0008206;GO:0010468;GO:0015721;GO:0015722;GO:0016567;GO:0031998;GO:0034219;GO:0038183;GO:0042632;GO:0043627;GO:0045471;GO:0046618;GO:0055088;GO:0055091;GO:0120189;GO:1904251;GO:1904486;GO:0055085
ABCB2	GO:0002250;GO:0006952;GO:0015031;GO:0015833;GO:0019885;GO:0046967;GO:0055085
ABCB3	GO:0001913;GO:0001916;GO:0002237;GO:0002481;GO:0002485;GO:0002489;GO:0015031;GO:0019885;GO:0046967;GO:0046968;GO:0055085
ABCB4	GO:0099040;GO:0006629;GO:0032376;GO:0032782;GO:0042908;GO:0045332;GO:0055085;GO:0055088;GO:0061092;GO:1901557;GO:1903413;GO:2001140
ABCB5	GO:0001654;GO:0030154;GO:0042391;GO:0042908;GO:0055085
ABCB6	GO:0006785;GO:0006778;GO:0006779;GO:0006878;GO:0006879;GO:0007420;GO:0015886;GO:0033013;GO:0035351;GO:0042168;GO:0043588;GO:0098849;GO:1903232;GO:0055085
ABCB7	GO:0006879;GO:0015886;GO:0016226;GO:0034755;GO:0055072;GO:0070455;GO:0140466;GO:1903331;GO:1903427;GO:0055085
ABCB8	GO:0006884;GO:0071805;GO:0140141;GO:0055085
ABCB9	GO:0002474;GO:0006518;GO:0015031;GO:0015833;GO:0035672;GO:0055085
