A0A0G2JPB7	GO:0005102;GO:0005102
ABCD2	GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0016887;GO:0016887;GO:0016887;GO:0016887;GO:0016887;GO:0042626;GO:0042626;GO:0042626;GO:0042626;GO:0042626;GO:0042803;GO:0042803;GO:0042803;GO:0042803;GO:0042803;GO:0046982;GO:0046982;GO:0046982;GO:0046982;GO:0046982;GO:0047617;GO:0047617;GO:0047617;GO:0047617;GO:0047617;GO:0140359;GO:0140359;GO:0140359;GO:0140359;GO:0140359;GO:0005324;GO:0005324;GO:0005324;GO:0005324;GO:0005324
ABCD3	GO:0005324;GO:0005324;GO:0005324;GO:0005515;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0005524;GO:0016887;GO:0016887;GO:0016887;GO:0042626;GO:0042626;GO:0042626;GO:0042803;GO:0042803;GO:0042803;GO:0043621;GO:0043621;GO:0043621;GO:0047617;GO:0047617;GO:0047617;GO:0140359;GO:0140359;GO:0140359
ABCD4	GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0015420;GO:0015420;GO:0016887;GO:0016887;GO:0042626;GO:0042626;GO:0042802;GO:0042802;GO:0005324;GO:0005324
ABCE1	GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0016887;GO:0016887;GO:0016887;GO:0016887;GO:0016887;GO:0016887;GO:0051539;GO:0051539;GO:0051539;GO:0051539;GO:0051539;GO:0051539;GO:0060698;GO:0060698;GO:0060698;GO:0060698;GO:0060698;GO:0060698;GO:0005524;GO:0005524;GO:0005524;GO:0005524;GO:0005524;GO:0005524;GO:0043024;GO:0043024;GO:0043024;GO:0043024;GO:0043024;GO:0043024;GO:0005506;GO:0005506;GO:0005506;GO:0005506;GO:0005506;GO:0005506
ABCF1	GO:0003723;GO:0003723;GO:0005515;GO:0005515;GO:0008135;GO:0008135;GO:0016887;GO:0016887;GO:0005524;GO:0005524
ABCF2	GO:0016887;GO:0016887;GO:0005524;GO:0005524
ABCF3	GO:0005515;GO:0016887;GO:0045296;GO:0005524
ABCG1	GO:0005515;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0005524;GO:0005543;GO:0005543;GO:0005543;GO:0015485;GO:0015485;GO:0015485;GO:0016887;GO:0016887;GO:0016887;GO:0019534;GO:0019534;GO:0019534;GO:0034041;GO:0034041;GO:0034041;GO:0042803;GO:0042803;GO:0042803;GO:0043531;GO:0043531;GO:0043531;GO:0046982;GO:0046982;GO:0046982;GO:0090554;GO:0090554;GO:0090554;GO:0120020;GO:0120020;GO:0120020;GO:0140328;GO:0140328;GO:0140328
ABCG2	GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0005524;GO:0005524;GO:0005524;GO:0008514;GO:0008514;GO:0008514;GO:0008514;GO:0008514;GO:0008559;GO:0008559;GO:0008559;GO:0008559;GO:0008559;GO:0015143;GO:0015143;GO:0015143;GO:0015143;GO:0015143;GO:0015225;GO:0015225;GO:0015225;GO:0015225;GO:0015225;GO:0015562;GO:0015562;GO:0015562;GO:0015562;GO:0015562;GO:0032217;GO:0032217;GO:0032217;GO:0032217;GO:0032217;GO:0042626;GO:0042626;GO:0042626;GO:0042626;GO:0042626;GO:0042802;GO:0042802;GO:0042802;GO:0042802;GO:0042802;GO:0042803;GO:0042803;GO:0042803;GO:0042803;GO:0042803;GO:0042910;GO:0042910;GO:0042910;GO:0042910;GO:0042910
ABCG4	GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0016887;GO:0016887;GO:0042802;GO:0042802;GO:0042803;GO:0042803;GO:0046982;GO:0046982;GO:0034041;GO:0034041
ABCG5	GO:0005524;GO:0016887;GO:0120020;GO:0005515;GO:0042626;GO:0046872;GO:0046982;GO:0140359
