ABCA8	GO:0005783;GO:0005886;GO:0016323;GO:0043231
ABCA9	GO:0016020;GO:0043231
ABCB1	GO:0005654;GO:0005737;GO:0005886;GO:0009986;GO:0016020;GO:0016324;GO:0070062;GO:0098591
ABCB10	GO:0005739;GO:0005743;GO:0031966
ABCB11	GO:0016323;GO:0000139;GO:0005768;GO:0005886;GO:0009986;GO:0016324;GO:0046581;GO:0046691;GO:0055037;GO:0055038;GO:0070062;GO:0016020
ABCB2	GO:0005783;GO:0005789;GO:0016020;GO:0030670;GO:0033116;GO:0034451;GO:0042824;GO:0042825
ABCB3	GO:0005783;GO:0005789;GO:0016020;GO:0016607;GO:0030670;GO:0033116;GO:0042824;GO:0042825
ABCB4	GO:0005654;GO:0005737;GO:0005829;GO:0005886;GO:0005925;GO:0015629;GO:0016324;GO:0030136;GO:0045121;GO:0046581;GO:0070062;GO:0016020
ABCB5	GO:0005886;GO:0016020
ABCB6	GO:0005739;GO:0000139;GO:0005654;GO:0005740;GO:0005741;GO:0005765;GO:0005768;GO:0005783;GO:0005789;GO:0005794;GO:0005829;GO:0005886;GO:0031901;GO:0032585;GO:0033162;GO:0036020;GO:0070062;GO:0043190;GO:0005774;GO:0016020
ABCB7	GO:0005739;GO:0005743;GO:0016020
ABCB8	GO:0005654;GO:0005730;GO:0005739;GO:0005743;GO:0031966;GO:0062157;GO:0043190;GO:0016020
ABCB9	GO:0005769;GO:0005783;GO:0005764;GO:0005765;GO:0005789;GO:0016020;GO:0043231
ABCC1	GO:0005886;GO:0009925;GO:0016020;GO:0016323;GO:0070062;GO:0016324;GO:0016328
ABCC10	GO:0005765;GO:0005886;GO:0009925;GO:0016323;GO:0016020
ABCC11	GO:0005774;GO:0005886;GO:0016324;GO:0030659;GO:0070062;GO:0016020
ABCC12	GO:0005783;GO:0005789;GO:0016020
ABCC2	GO:0005886;GO:0009986;GO:0016324;GO:0046581
ABCC3	GO:0005886;GO:0009925;GO:0016323;GO:0016020
ABCC4	GO:0005730;GO:0005794;GO:0005886;GO:0016020;GO:0016323;GO:0016324;GO:0031088;GO:0098591
ABCC5	GO:0005796;GO:0005886;GO:0010008;GO:0016020;GO:0016323;GO:0016324
ABCC6	GO:0005576;GO:0005654;GO:0005789;GO:0005886;GO:0009925;GO:0016323;GO:0016020
ABCC7	GO:0005634;GO:0005737;GO:0005765;GO:0005769;GO:0005789;GO:0005829;GO:0005886;GO:0009986;GO:0010008;GO:0016020;GO:0016324;GO:0030660;GO:0030669;GO:0031901;GO:0055037;GO:0055038;GO:0032991;GO:0034707
ABCC8	GO:0005739;GO:0005886;GO:0008282;GO:0030672;GO:0042383;GO:0031004;GO:0016020
ABCC9	GO:0005886;GO:0030017;GO:0008282;GO:0031004;GO:0016020
ABCD1	GO:0005737;GO:0005765;GO:0005777;GO:0005778;GO:0005789;GO:0005829;GO:0016020;GO:0031966;GO:0048471
ABCD2	GO:0005777;GO:0005778;GO:0005829
ABCD3	GO:0005739;GO:0005777;GO:0005778;GO:0005782;GO:0005829;GO:0016020;GO:0043231
ABCD4	GO:0005777;GO:0005765;GO:0005789;GO:0016020;GO:0043190;GO:0005778
ABCE1	GO:0005737;GO:0005739;GO:0005759;GO:0005829;GO:0016020
ABCF1	GO:0005635;GO:0005654;GO:0005829;GO:0016020
ABCF2	GO:0016020
ABCF3	GO:0016020
ABCG1	GO:0000139;GO:0005739;GO:0005768;GO:0005789;GO:0005794;GO:0005886;GO:0009897;GO:0055037
ABCG2	GO:0005654;GO:0005886;GO:0016324;GO:0031526;GO:0031966;GO:0045121;GO:0098591
ABCG4	GO:0005886;GO:0010008;GO:0031410
ABCG5	GO:0005886;GO:0016324;GO:0043190;GO:0043235
ABCG8	GO:0005886;GO:0016324;GO:0043190;GO:0043235
ABCP	GO:0005654;GO:0005886;GO:0016324;GO:0031526;GO:0031966;GO:0045121;GO:0098591
ABCR	GO:0001750;GO:0005783;GO:0005886;GO:0016020;GO:0031410;GO:0097381;GO:0120202;GO:0043231
ABF1	GO:0005634;GO:0005654;GO:0000785
ABH	GO:0000791;GO:0005654;GO:0005739;GO:0005783;GO:0005737;GO:0005634
ABH1	GO:0000791;GO:0005654;GO:0005739;GO:0005783;GO:0005737;GO:0005634
ABH2	GO:0005634;GO:0005654;GO:0005730
ABH3	GO:0005654;GO:0005739;GO:0005829;GO:0005634
ABH4	GO:0005730;GO:0005737;GO:0030496;GO:0070938
ABH5	GO:0005634;GO:0005654;GO:0005794;GO:0005829;GO:0016607
ABH6	GO:0005654;GO:0005737;GO:0005925;GO:0005634
ABH7	GO:0005739;GO:0005759
ABH8	GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0016604
ABHD1	GO:0016020
ABHD10	GO:0005739;GO:0005759;GO:0005829
ABHD11	GO:0005575;GO:0005739
ABHD12	GO:0005789;GO:0005886;GO:0016020;GO:0032839;GO:0032281
ABHD12B	GO:0005789
ABHD13	GO:0016020;GO:0032839
ABHD14A	GO:0016020;GO:0005737
ABHD14B	GO:0005634;GO:0005654;GO:0005730;GO:0005829;GO:0070062;GO:0005737
ABHD15	GO:0005576;GO:0016020
ABHD16B	GO:0005654
ABHD17A	GO:0005886;GO:0010008;GO:0016020;GO:0016607;GO:0043197;GO:0043231;GO:0055038;GO:0098839;GO:0098944;GO:0098978
ABHD17B	GO:0005886;GO:0016020;GO:0043197;GO:0055038;GO:0098839;GO:0010008
ABHD17C	GO:0005886;GO:0043197;GO:0055038;GO:0098839;GO:0098978;GO:0010008
ABHD18	GO:0005576
ABHD2	GO:0001669;GO:0036126;GO:0097524
ABHD3	GO:0005575;GO:0005886
ABHD4	GO:0005789;GO:0005811
ABHD5	GO:0005654;GO:0005811;GO:0005829;GO:0043231
ABHD6	GO:0005765;GO:0005886;GO:0016020;GO:0031902;GO:0031966;GO:0045211;GO:0098978;GO:0098982;GO:0032281;GO:0005739
ABHD7	GO:0016020
ABHD8	GO:0070062
ABHD9	GO:0005783;GO:0016020;GO:0043231
ABI1	GO:0005634;GO:0005783;GO:0005829;GO:0005856;GO:0014069;GO:0030027;GO:0030426;GO:0032433;GO:0070062;GO:0031209;GO:0005622
ABI2	GO:0043197;GO:0005634;GO:0005737;GO:0005829;GO:0005856;GO:0005912;GO:0030027;GO:0032433;GO:0031209
ABI3	GO:0005737;GO:0014069;GO:0016020;GO:0030027;GO:0043197;GO:0043198;GO:0031209
ABI3BP	GO:0062023;GO:0005576;GO:0005615
ABIN2	GO:0005654;GO:0005829
ABIN3	GO:0005829
ABITRAM	GO:0016607;GO:0030027;GO:0030426;GO:0032433;GO:0030425;GO:0005634
ABL	GO:0001726;GO:0005634;GO:0005654;GO:0005730;GO:0005737;GO:0005739;GO:0005783;GO:0005829;GO:0015629;GO:0016604;GO:0030425;GO:0030426;GO:0031965;GO:0043025;GO:0048471;GO:0098794;GO:0032991
ABL1	GO:0001726;GO:0005634;GO:0005654;GO:0005730;GO:0005737;GO:0005739;GO:0005783;GO:0005829;GO:0015629;GO:0016604;GO:0030425;GO:0030426;GO:0031965;GO:0043025;GO:0048471;GO:0098794;GO:0032991
ABL2	GO:0005829;GO:0015629
ABLIM	GO:0001725;GO:0005737;GO:0030027;GO:0015629
ABLIM1	GO:0001725;GO:0005737;GO:0030027;GO:0015629
ABLIM2	GO:0005737;GO:0015629
ABLIM3	GO:0001725;GO:0005737;GO:0030027;GO:0098978;GO:0015629
ABLL	GO:0005829;GO:0015629
